name,rows,columns,csv,json,domains,fields,scopes
canonical_low_card_relation_columns,66,"['table_schema', 'table_name', 'ordinal_position', 'column_name', 'data_type', 'udt_name']",dataframes/canonical_low_card_relation_columns.csv,dataframes/canonical_low_card_relation_columns.json,[],[],[]
denue_base_relation_metadata,3,"['schema', 'relname', 'relkind', 'reltuples_estimate', 'relpages']",dataframes/denue_base_relation_metadata.csv,dataframes/denue_base_relation_metadata.json,[],[],"['market_data', 'public']"
denue_directory_entries_columns,0,"['ordinal_position', 'column_name', 'data_type', 'udt_name', 'is_nullable']",dataframes/denue_directory_entries_columns.csv,dataframes/denue_directory_entries_columns.json,[],[],[]
denue_directory_entries_columns_all_schemas,0,"['table_schema', 'table_name', 'ordinal_position', 'column_name', 'data_type', 'udt_name', 'is_nullable']",dataframes/denue_directory_entries_columns_all_schemas.csv,dataframes/denue_directory_entries_columns_all_schemas.json,[],[],[]
denue_directory_entries_indexes,13,"['schemaname', 'tablename', 'indexname', 'indexdef']",dataframes/denue_directory_entries_indexes.csv,dataframes/denue_directory_entries_indexes.json,[],[],[]
denue_directory_entries_pg_columns,32,"['ordinal_position', 'column_name', 'type_name', 'attnotnull']",dataframes/denue_directory_entries_pg_columns.csv,dataframes/denue_directory_entries_pg_columns.json,[],[],[]
denue_directory_relation_metadata,1,"['schema', 'relname', 'relkind', 'reltuples_estimate', 'relpages', 'view_definition']",dataframes/denue_directory_relation_metadata.csv,dataframes/denue_directory_relation_metadata.json,[],[],['market_data']
denue_directory_rows_relation_metadata,1,"['schema', 'relname', 'relkind', 'reltuples_estimate', 'relpages', 'view_definition']",dataframes/denue_directory_rows_relation_metadata.csv,dataframes/denue_directory_rows_relation_metadata.json,[],[],['market_data']
denue_minimal_sample_25,25,"['source_slug', 'dataset_name', 'source_record_id', 'observed_kind', 'legal_name', 'trade_name', 'activity_text', 'country_code', 'state_code', 'state_name', 'municipality', 'postal_code', 'website', 'domain']",dataframes/denue_minimal_sample_25.csv,dataframes/denue_minimal_sample_25.json,[],[],['denue']
denue_view_base_relations_metadata,4,"['schema', 'relname', 'relkind', 'reltuples_estimate', 'relpages']",dataframes/denue_view_base_relations_metadata.csv,dataframes/denue_view_base_relations_metadata.json,[],[],['market_data']
exact_low_cardinality_live_value_counts,124,"['query_started_at', 'query_finished_at', 'server_elapsed', 'relation_name', 'source_slug', 'field_name', 'field_value', 'field_value_is_null', 'frequency', 'rows_in_relation_source', 'frequency_pct_within_relation_source']",dataframes/exact_low_cardinality_live_value_counts.csv,dataframes/exact_low_cardinality_live_value_counts.json,[],"['actionability', 'amount_scope', 'announcement_character', 'contract_status', 'contracting_type', 'currency', 'is_mipyme', 'procedure_type', 'source_slug', 'status', 'supplier_country', 'supplier_size']","['awards', 'cfe-contratos-adjudicados', 'comprasmx-contratos', 'tenders']"
live_dataset_coverage_summary,6,"['measured_at', 'relation', 'source_slug', 'visible_rows', 'coverage', 'content_sha256', 'updated_at']",dataframes/live_dataset_coverage_summary.csv,dataframes/live_dataset_coverage_summary.json,[],[],"['awards', 'cfe-contratos-adjudicados', 'comprasmx-contratos', 'denue', 'directory', 'dirind', 'mexicoindustry', 'tenders']"
live_denue_coverage_dataset_keys,33,"['dataset_name', 'dataset_json', 'dataset_keys']",dataframes/live_denue_coverage_dataset_keys.csv,dataframes/live_denue_coverage_dataset_keys.json,[],[],[]
live_denue_coverage_datasets,33,"['measured_at', 'relation', 'source_slug', 'dataset_name', 'loaded_rows', 'published_rows', 'rejected_rows', 'merged_duplicate_rows', 'published_finished_at']",dataframes/live_denue_coverage_datasets.csv,dataframes/live_denue_coverage_datasets.json,[],[],"['denue', 'directory']"
live_denue_coverage_detail,1,"['measured_at', 'relation', 'source_slug', 'visible_rows', 'published_finished_at', 'content_sha256', 'coverage_type', 'coverage_json']",dataframes/live_denue_coverage_detail.csv,dataframes/live_denue_coverage_detail.json,[],[],"['denue', 'directory']"
prof_awards_scalar_summary_compact,9,"['measured_at', 'domain', 'source_scope', 'field_name', 'rows_examined', 'null_count', 'null_rate_pct', 'cardinality']",dataframes/prof_awards_scalar_summary_compact.csv,dataframes/prof_awards_scalar_summary_compact.json,['awards'],"['amount_scope', 'contract_status', 'contracting_type', 'currency', 'is_mipyme', 'procedure_type', 'source_slug', 'supplier_country', 'supplier_size']",['all']
