table_schema,table_name,ordinal_position,column_name,data_type,udt_name
market_data,awards,1,id,uuid,uuid
market_data,awards,2,source_slug,text,text
market_data,awards,3,dataset_name,text,text
market_data,awards,4,source_record_id,text,text
market_data,awards,5,source_year,integer,int4
market_data,awards,6,procedure_number,text,text
market_data,awards,7,contract_number,text,text
market_data,awards,8,buyer_name,text,text
market_data,awards,9,buyer_acronym,text,text
market_data,awards,10,branch,text,text
market_data,awards,11,procedure_type,text,text
market_data,awards,12,contracting_type,text,text
market_data,awards,13,title,text,text
market_data,awards,14,description,text,text
market_data,awards,15,award_date,date,date
market_data,awards,16,signature_date,date,date
market_data,awards,17,contract_status,text,text
market_data,awards,18,supplier_rfc,text,text
market_data,awards,19,supplier_name,text,text
market_data,awards,20,supplier_parties,jsonb,jsonb
market_data,awards,21,rupc_folio,text,text
market_data,awards,22,supplier_country,text,text
market_data,awards,23,supplier_nationality,text,text
market_data,awards,24,supplier_size,text,text
market_data,awards,25,is_mipyme,boolean,bool
market_data,awards,26,amount,numeric,numeric
market_data,awards,27,amount_published,text,text
market_data,awards,28,currency,text,text
market_data,awards,29,amount_scope,text,text
market_data,awards,30,source_url,text,text
market_data,awards,31,source_span_start,bigint,int8
market_data,awards,32,source_span_end,bigint,int8
market_data,awards,33,artifact_sha256,text,text
market_data,awards,34,updated_at,timestamp with time zone,timestamptz
market_data,awards,35,evidence,jsonb,jsonb
market_data,tenders,1,id,uuid,uuid
market_data,tenders,2,source_slug,text,text
market_data,tenders,3,dataset_name,text,text
market_data,tenders,4,source_record_id,text,text
market_data,tenders,5,source_year,integer,int4
market_data,tenders,6,procedure_number,text,text
market_data,tenders,7,file_code,text,text
market_data,tenders,8,buyer_name,text,text
market_data,tenders,9,buyer_acronym,text,text
market_data,tenders,10,branch,text,text
market_data,tenders,11,title,text,text
market_data,tenders,12,description,text,text
market_data,tenders,13,procedure_type,text,text
market_data,tenders,14,contracting_type,text,text
market_data,tenders,15,announcement_character,text,text
market_data,tenders,16,state_name,text,text
market_data,tenders,17,status,text,text
market_data,tenders,18,is_open,boolean,bool
market_data,tenders,19,published_date,date,date
market_data,tenders,20,clarification_date,date,date
market_data,tenders,21,opening_date,date,date
market_data,tenders,22,award_date,date,date
market_data,tenders,23,source_url,text,text
market_data,tenders,24,source_span_start,bigint,int8
market_data,tenders,25,source_span_end,bigint,int8
market_data,tenders,26,artifact_sha256,text,text
market_data,tenders,27,updated_at,timestamp with time zone,timestamptz
market_data,tenders,28,actionable_as_of,date,date
market_data,tenders,29,actionability,text,text
market_data,tenders,30,actionability_reason,text,text
market_data,tenders,31,evidence,jsonb,jsonb
