source_slug,dataset_name,source_record_id,observed_kind,legal_name,trade_name,activity_text,country_code,state_code,state_name,municipality,postal_code,website,domain
denue,directory-state-21,21071466312005261000000000U5,establishment,,FLORERIA EL RETOÑO,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Huauchinango,73170,,
denue,directory-state-21,21114466312007571000000000U3,establishment,,FLORERIA EL ROSAL,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Puebla,72019,,
denue,directory-state-21,21188461211000011010000000U0,establishment,,FLORERIA EL ROSAL,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Tochimilco,74330,,
denue,directory-state-21,21208466312000171100000000U9,establishment,,FLORERIA EL ROSAL,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Zacatlán,73310,,
denue,directory-state-21,21114466312000441000000000U6,establishment,,FLORERIA EL ROSAL,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Puebla,72090,,
denue,directory-state-21,21100466312000031000000000U4,establishment,,FLORERIA EL ROSAL,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Naupan,73140,,
denue,directory-state-21,21069466312000051000000000U9,establishment,,FLORERIA EL ROSAL,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Huaquechula,74375,,
denue,directory-state-21,21164466312000311000000000U6,establishment,,FLORERIA EL ROSAL,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Tepeaca,75200,,
denue,directory-state-21,21019466312003161000000000U8,establishment,,FLORERIA EL ROSAL,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Atlixco,74270,,
denue,directory-state-21,21012466312000021000000000U2,establishment,,FLORERIA EL ROSAL,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Aljojuca,75180,,
denue,directory-state-21,21164466312000241000000000U5,establishment,,FLORERIA EL ROSAL,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Tepeaca,75200,,
denue,directory-state-21,21085466312000951000000000U6,establishment,,FLORERIA EL ROSAL,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Izúcar de Matamoros,74420,,
denue,directory-state-21,21181466312000101000000000U5,establishment,,FLORERIA EL ROSAL,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Tlaltenango,72600,,
denue,directory-state-21,21114466312000501000000000U7,establishment,,FLORERIA EL ROSAL,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Puebla,72377,,
denue,directory-state-21,21034466312000181000000000U8,establishment,,FLORERIA EL ROSAL,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Coronango,72620,,
denue,directory-state-21,21132466312001521000000000U6,establishment,,FLORERIA EL ROSAL DE TETLA,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,San Martín Texmelucan,74125,,
denue,directory-state-21,21119466312001001000000000U6,establishment,,FLORERIA EL SECRETO,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,San Andrés Cholula,72821,,
denue,directory-state-12,12081721311000011000000000U2,establishment,,CASA DE HUESPEDES SIN NOMBRE,Pensiones y casas de huéspedes,MX,MX-GRO,Guerrero,Iliatenco,41530,,
denue,directory-state-21,21114466312006271000000000U1,establishment,,FLORERIA EL SINALOENSE,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Puebla,72019,,
denue,directory-state-21,21022311830000321020000000U3,establishment,,FLORERIA EL SOL,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Atzitzihuacán,74505,,
denue,directory-state-21,21003466312000231000000000U6,establishment,,FLORERIA EL TREVOL,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Acatlán,74949,,
denue,directory-state-21,21041466312000221000000000U7,establishment,,FLORERIA EL TULIPAN,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Cuautlancingo,72600,,
denue,directory-state-21,21156466312000041000000000U5,establishment,,FLORERIA EL TULIPAN,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Tehuacán,75857,,
denue,directory-state-21,21114466312004081000000000U6,establishment,,FLORERIA EL TULIPAN,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Puebla,72019,,
denue,directory-state-21,21094466312000211000000000U7,establishment,,FLORERIA EL TULIPAN,Comercio al por menor de plantas y flores naturales,MX,MX-PUE,Puebla,Libres,73780,,
