query_started_at,query_finished_at,server_elapsed,relation_name,source_slug,field_name,field_value,field_value_is_null,frequency,rows_in_relation_source,frequency_pct_within_relation_source
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680189+00:00,0 days 00:00:00.043752,tenders,comprasmx-contratos,actionability,closed_at_load,False,63189,64418,98.092148
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680209+00:00,0 days 00:00:00.043772,tenders,comprasmx-contratos,actionability,open_but_apertura_passed,False,638,64418,0.990406
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680210+00:00,0 days 00:00:00.043773,tenders,comprasmx-contratos,actionability,open_with_apertura_ahead,False,558,64418,0.866218
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680212+00:00,0 days 00:00:00.043775,tenders,comprasmx-contratos,actionability,open_without_published_apertura,False,33,64418,0.051228
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680213+00:00,0 days 00:00:00.043776,tenders,comprasmx-contratos,announcement_character,NACIONAL,False,60016,64418,93.166506
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680215+00:00,0 days 00:00:00.043778,tenders,comprasmx-contratos,announcement_character,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,False,2226,64418,3.455556
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680216+00:00,0 days 00:00:00.043779,tenders,comprasmx-contratos,announcement_character,INTERNACIONAL ABIERTO,False,2176,64418,3.377938
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680218+00:00,0 days 00:00:00.043781,tenders,comprasmx-contratos,contracting_type,SERVICIOS,False,34826,64418,54.062529
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680219+00:00,0 days 00:00:00.043782,tenders,comprasmx-contratos,contracting_type,ADQUISICIONES,False,22357,64418,34.706138
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680220+00:00,0 days 00:00:00.043783,tenders,comprasmx-contratos,contracting_type,OBRA PÚBLICA,False,4889,64418,7.589494
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680222+00:00,0 days 00:00:00.043785,tenders,comprasmx-contratos,contracting_type,SERVICIOS RELACIONADOS CON LA OBRA,False,1493,64418,2.317675
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680227+00:00,0 days 00:00:00.043790,tenders,comprasmx-contratos,contracting_type,ARRENDAMIENTOS,False,852,64418,1.322612
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680228+00:00,0 days 00:00:00.043791,tenders,comprasmx-contratos,contracting_type,PRESTACIÓN DE SERVICIOS,False,1,64418,0.001552
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680230+00:00,0 days 00:00:00.043793,tenders,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA SIN SOLICITUD DE COTIZACIÓN,False,30513,64418,47.367196
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680231+00:00,0 days 00:00:00.043794,tenders,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA,False,16973,64418,26.348226
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680232+00:00,0 days 00:00:00.043795,tenders,comprasmx-contratos,procedure_type,LICITACIÓN PÚBLICA,False,10046,64418,15.59502
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680234+00:00,0 days 00:00:00.043797,tenders,comprasmx-contratos,procedure_type,INVITACIÓN A CUANDO MENOS TRES PERSONAS,False,4866,64418,7.553789
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680235+00:00,0 days 00:00:00.043798,tenders,comprasmx-contratos,procedure_type,CONTRATO ESPECÍFICO DERIVADO DE ACUERDO MARCO,False,1246,64418,1.934242
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680236+00:00,0 days 00:00:00.043799,tenders,comprasmx-contratos,procedure_type,CONTRATACIONES ENTRE ENTES PÚBLICOS,False,771,64418,1.19687
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680238+00:00,0 days 00:00:00.043801,tenders,comprasmx-contratos,procedure_type,ASIGNACIÓN DIRECTA DE CONTRATO ESPECÍFICO DERIVADO DE ACUERDO MARCO,False,2,64418,0.003105
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680239+00:00,0 days 00:00:00.043802,tenders,comprasmx-contratos,procedure_type,LICITACIÓN PÚBLICA (CONCURSO),False,1,64418,0.001552
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680241+00:00,0 days 00:00:00.043804,tenders,comprasmx-contratos,source_slug,comprasmx-contratos,False,64418,64418,100.0
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680242+00:00,0 days 00:00:00.043805,tenders,comprasmx-contratos,status,ADJUDICADO,False,58174,64418,90.307057
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680243+00:00,0 days 00:00:00.043806,tenders,comprasmx-contratos,status,DESIERTO,False,2103,64418,3.264615
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680245+00:00,0 days 00:00:00.043808,tenders,comprasmx-contratos,status,ADJUDICADO PARCIAL,False,1152,64418,1.78832
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680246+00:00,0 days 00:00:00.043809,tenders,comprasmx-contratos,status,FINALIZADO,False,1117,64418,1.733987
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680247+00:00,0 days 00:00:00.043810,tenders,comprasmx-contratos,status,VIGENTE,False,601,64418,0.932969
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680249+00:00,0 days 00:00:00.043812,tenders,comprasmx-contratos,status,CANCELADO,False,430,64418,0.667515
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680250+00:00,0 days 00:00:00.043813,tenders,comprasmx-contratos,status,EN APERTURA,False,424,64418,0.658201
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680251+00:00,0 days 00:00:00.043814,tenders,comprasmx-contratos,status,EXPIRADO,False,157,64418,0.243721
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680253+00:00,0 days 00:00:00.043816,tenders,comprasmx-contratos,status,EN DECISIÓN DE FALLO,False,80,64418,0.124189
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680254+00:00,0 days 00:00:00.043817,tenders,comprasmx-contratos,status,EN EVALUACIÓN,False,67,64418,0.104008
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680255+00:00,0 days 00:00:00.043818,tenders,comprasmx-contratos,status,EN ACLARACIONES,False,57,64418,0.088485
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680257+00:00,0 days 00:00:00.043820,tenders,comprasmx-contratos,status,SUSPENDIDO,False,25,64418,0.038809
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680258+00:00,0 days 00:00:00.043821,tenders,comprasmx-contratos,status,PENDIENTE DE APERTURA,False,20,64418,0.031047
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680259+00:00,0 days 00:00:00.043822,tenders,comprasmx-contratos,status,EN REPREGUNTAS,False,9,64418,0.013971
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680261+00:00,0 days 00:00:00.043824,tenders,comprasmx-contratos,status,EN ATENCIÓN DE PREGUNTAS,False,1,64418,0.001552
2026-08-13 01:22:39.636437+00:00,2026-08-13 01:22:39.680262+00:00,0 days 00:00:00.043825,tenders,comprasmx-contratos,status,EN OSD,False,1,64418,0.001552
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912173+00:00,0 days 00:00:00.010758,awards,cfe-contratos-adjudicados,amount_scope,award_group_published_total,False,58,58,100.0
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912192+00:00,0 days 00:00:00.010777,awards,cfe-contratos-adjudicados,contracting_type,Servicio por Abastecimiento,False,47,58,81.034483
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912194+00:00,0 days 00:00:00.010779,awards,cfe-contratos-adjudicados,contracting_type,Adquisición por Abastecimientos,False,11,58,18.965517
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912196+00:00,0 days 00:00:00.010781,awards,cfe-contratos-adjudicados,contract_status,Adjudicado,False,58,58,100.0
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912197+00:00,0 days 00:00:00.010782,awards,cfe-contratos-adjudicados,currency,,True,58,58,100.0
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912199+00:00,0 days 00:00:00.010784,awards,cfe-contratos-adjudicados,is_mipyme,,True,58,58,100.0
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912201+00:00,0 days 00:00:00.010786,awards,cfe-contratos-adjudicados,procedure_type,Concurso abierto,False,42,58,72.413793
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912202+00:00,0 days 00:00:00.010787,awards,cfe-contratos-adjudicados,procedure_type,Adjudicación directa,False,12,58,20.689655
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912204+00:00,0 days 00:00:00.010789,awards,cfe-contratos-adjudicados,procedure_type,Concurso simplificado,False,4,58,6.896552
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912205+00:00,0 days 00:00:00.010790,awards,cfe-contratos-adjudicados,source_slug,cfe-contratos-adjudicados,False,58,58,100.0
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912207+00:00,0 days 00:00:00.010792,awards,cfe-contratos-adjudicados,supplier_country,,True,58,58,100.0
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912213+00:00,0 days 00:00:00.010798,awards,cfe-contratos-adjudicados,supplier_size,,True,58,58,100.0
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912391+00:00,0 days 00:00:00.010976,awards,comprasmx-contratos,amount_scope,supplier_contract,False,47788,47788,100.0
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912393+00:00,0 days 00:00:00.010978,awards,comprasmx-contratos,contracting_type,ADQUISICIONES,False,23396,47788,48.957897
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912394+00:00,0 days 00:00:00.010979,awards,comprasmx-contratos,contracting_type,SERVICIOS,False,19685,47788,41.19235
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912396+00:00,0 days 00:00:00.010981,awards,comprasmx-contratos,contracting_type,OBRA PÚBLICA,False,3081,47788,6.447225
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912397+00:00,0 days 00:00:00.010982,awards,comprasmx-contratos,contracting_type,SERVICIOS RELACIONADOS CON LA OBRA,False,841,47788,1.759856
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912399+00:00,0 days 00:00:00.010984,awards,comprasmx-contratos,contracting_type,ARRENDAMIENTOS,False,785,47788,1.642672
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912400+00:00,0 days 00:00:00.010985,awards,comprasmx-contratos,contract_status,FORMALIZADO,False,31336,47788,65.572947
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912401+00:00,0 days 00:00:00.010986,awards,comprasmx-contratos,contract_status,NO FORMALIZADO,False,30,47788,0.062777
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912403+00:00,0 days 00:00:00.010988,awards,comprasmx-contratos,contract_status,RESCINDIDO,False,22,47788,0.046037
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912404+00:00,0 days 00:00:00.010989,awards,comprasmx-contratos,contract_status,,True,16400,47788,34.318239
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912405+00:00,0 days 00:00:00.010990,awards,comprasmx-contratos,currency,MXN,False,47388,47788,99.16297
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912407+00:00,0 days 00:00:00.010992,awards,comprasmx-contratos,currency,USD,False,394,47788,0.824475
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912408+00:00,0 days 00:00:00.010993,awards,comprasmx-contratos,currency,EUR,False,5,47788,0.010463
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912409+00:00,0 days 00:00:00.010995,awards,comprasmx-contratos,currency,CAD,False,1,47788,0.002093
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912411+00:00,0 days 00:00:00.010996,awards,comprasmx-contratos,is_mipyme,true,False,31225,47788,65.340671
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912412+00:00,0 days 00:00:00.010997,awards,comprasmx-contratos,is_mipyme,false,False,16563,47788,34.659329
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912413+00:00,0 days 00:00:00.010998,awards,comprasmx-contratos,procedure_type,LICITACIÓN PÚBLICA,False,12718,47788,26.613376
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912415+00:00,0 days 00:00:00.011000,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,False,11175,47788,23.384532
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912416+00:00,0 days 00:00:00.011001,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA POR COMERCIALIZACIÓN DIRECTA,False,6714,47788,14.049552
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912417+00:00,0 days 00:00:00.011003,awards,comprasmx-contratos,procedure_type,"ADJUDICACIÓN DIRECTA POR PATENTES, LICENCIAS, OFERENTE ÚNICO U OBRAS DE ARTE",False,2824,47788,5.909433
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912419+00:00,0 days 00:00:00.011004,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA POR CASO FORTUITO O FUERZA MAYOR,False,2489,47788,5.208421
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912421+00:00,0 days 00:00:00.011006,awards,comprasmx-contratos,procedure_type,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS POR EXCEPCIÓN,False,2368,47788,4.955219
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912422+00:00,0 days 00:00:00.011007,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA POR URGENCIA Y EVENTUALIDAD,False,1777,47788,3.718507
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912423+00:00,0 days 00:00:00.011008,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA POR LICITACIONES PÚBLICAS DESIERTAS,False,1089,47788,2.278815
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912424+00:00,0 days 00:00:00.011009,awards,comprasmx-contratos,procedure_type,"ADJUDICACIÓN DIRECTA POR ADJUDICACIÓN A PROVEEDOR CON CONTRATO VIGENTE, BAJO LAS MISMAS CONDICIONES",False,824,47788,1.724282
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912426+00:00,0 days 00:00:00.011011,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA POR INEXISTENCIA DE MARCAS ALTERNATIVAS,False,754,47788,1.577802
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912515+00:00,0 days 00:00:00.011100,awards,comprasmx-contratos,procedure_type,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS PARA EXCEPCIÓN,False,754,47788,1.577802
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912518+00:00,0 days 00:00:00.011103,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA POR AUTORIZACIÓN DEL TUAF O EQUIVALENTE,False,327,47788,0.684272
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912520+00:00,0 days 00:00:00.011105,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA POR MATERIALES DE USO EN ACTIVIDADES EXPERIMENTALES,False,296,47788,0.619402
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912521+00:00,0 days 00:00:00.011106,awards,comprasmx-contratos,procedure_type,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR LICITACIONES PÚBLICAS DESIERTAS,False,143,47788,0.299238
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912522+00:00,0 days 00:00:00.011108,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA PARA FINES MILITARES O PARA LA ARMADA,False,134,47788,0.280405
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912524+00:00,0 days 00:00:00.011109,awards,comprasmx-contratos,procedure_type,"INVITACIÓN A CUANDO MENOS 3 PERSONAS POR ADJUDICACIÓN A PROVEEDOR CON CONTRATO VIGENTE, BAJO LAS MISMAS CONDICIONES",False,123,47788,0.257387
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912525+00:00,0 days 00:00:00.011110,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA POR MANTENIMIENTO SIN PRECISIÓN DEL ALCANCE,False,101,47788,0.21135
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912527+00:00,0 days 00:00:00.011112,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA POR BIENES PERECEDEROS O USADOS,False,72,47788,0.150665
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912528+00:00,0 days 00:00:00.011113,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA QUE DERIVA DE DOS INVITACIONES A CUANDO MENOS TRES PERSONAS DESIERTAS,False,71,47788,0.148573
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912529+00:00,0 days 00:00:00.011114,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA POR INVITACIONES A 3 PERSONAS DESIERTAS,False,60,47788,0.125555
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912530+00:00,0 days 00:00:00.011115,awards,comprasmx-contratos,procedure_type,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR CASO FORTUITO O FUERZA MAYOR,False,55,47788,0.115092
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912532+00:00,0 days 00:00:00.011117,awards,comprasmx-contratos,procedure_type,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR URGENCIA Y EVENTUALIDAD,False,46,47788,0.096258
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912533+00:00,0 days 00:00:00.011118,awards,comprasmx-contratos,procedure_type,PROCEDIMIENTO DE ASIGNACIÓN DERIVADO DE UN ACUERDO MARCO,False,35,47788,0.07324
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912534+00:00,0 days 00:00:00.011119,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA POR CONTRATACIÓN CON CAMPESINOS O GRUPOS URBANOS,False,32,47788,0.066962
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912536+00:00,0 days 00:00:00.011121,awards,comprasmx-contratos,procedure_type,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR INEXISTENCIA DE MARCAS ALTERNATIVAS,False,26,47788,0.054407
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912537+00:00,0 days 00:00:00.011122,awards,comprasmx-contratos,procedure_type,"ADJUDICACIÓN DIRECTA PARA ADQUISICIONES A FABRICANTES, EN AQUELLOS CASOS EN QUE ESTOS OFREZCAN MEJORES CONDICIONES DE MERCADO.",False,20,47788,0.041852
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912538+00:00,0 days 00:00:00.011123,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA POR PERDIDAS ADICIONALES JUSTIFICADAS,False,19,47788,0.039759
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912540+00:00,0 days 00:00:00.011125,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA POR CONSULTORÍA,False,15,47788,0.031389
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912541+00:00,0 days 00:00:00.011126,awards,comprasmx-contratos,procedure_type,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR COMERCIALIZACIÓN DIRECTA,False,14,47788,0.029296
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912542+00:00,0 days 00:00:00.011127,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA POR BIENES EN LIQUIDACIÓN,False,12,47788,0.025111
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912544+00:00,0 days 00:00:00.011129,awards,comprasmx-contratos,procedure_type,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MATERIALES DE USO EN ACTIVIDADES EXPERIMENTALES,False,12,47788,0.025111
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912545+00:00,0 days 00:00:00.011130,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA POR CONTRATOS RESCINDIDOS,False,11,47788,0.023018
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912546+00:00,0 days 00:00:00.011131,awards,comprasmx-contratos,procedure_type,"ADJUDICACIÓN DIRECTA POR SERVICIOS PRESTADOS POR PERSONA FÍSICA, QUE NO REQUIERA DE OTRO ESPECIALISTA O TÉCNICO",False,8,47788,0.016741
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912547+00:00,0 days 00:00:00.011133,awards,comprasmx-contratos,procedure_type,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR CONSULTORÍA,False,8,47788,0.016741
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912549+00:00,0 days 00:00:00.011134,awards,comprasmx-contratos,procedure_type,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR PERDIDAS ADICIONALES JUSTIFICADAS,False,8,47788,0.016741
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912550+00:00,0 days 00:00:00.011135,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA PARA LA ADQUISICIÓN DE BIENES Y SERVICIOS RELATIVOS A LA OPERACIÓN DE INSTALACIONES NUCLEARES,False,3,47788,0.006278
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912551+00:00,0 days 00:00:00.011136,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA PARA MATERIALES DE USO EN ACTIVIDADES EXPERIMENTALES,False,3,47788,0.006278
2026-08-13 01:24:32.901415+00:00,2026-08-13 01:24:32.912553+00:00,0 days 00:00:00.011138,awards,comprasmx-contratos,procedure_type,ADJUDICACIÓN DIRECTA RECONOCIMIENTO DE TRABAJOS EXTRAORDINARIOS NO CONSIDERADOS EN LOS ALCANCES DEL CONTRATO,False,3,47788,0.006278
