dataset_name,dataset_json,dataset_keys
directory-state-01,"{'loaded_rows': 71871, 'dataset_name': 'directory-state-01', 'rejected_rows': 0, 'published_rows': 71871, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-02,"{'loaded_rows': 139208, 'dataset_name': 'directory-state-02', 'rejected_rows': 0, 'published_rows': 139208, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-03,"{'loaded_rows': 42577, 'dataset_name': 'directory-state-03', 'rejected_rows': 0, 'published_rows': 42577, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-04,"{'loaded_rows': 47821, 'dataset_name': 'directory-state-04', 'rejected_rows': 0, 'published_rows': 47821, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-05,"{'loaded_rows': 126952, 'dataset_name': 'directory-state-05', 'rejected_rows': 0, 'published_rows': 126952, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-06,"{'loaded_rows': 42073, 'dataset_name': 'directory-state-06', 'rejected_rows': 0, 'published_rows': 42073, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-07,"{'loaded_rows': 250960, 'dataset_name': 'directory-state-07', 'rejected_rows': 0, 'published_rows': 250960, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-08,"{'loaded_rows': 142295, 'dataset_name': 'directory-state-08', 'rejected_rows': 0, 'published_rows': 142295, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-09,"{'loaded_rows': 462732, 'dataset_name': 'directory-state-09', 'rejected_rows': 0, 'published_rows': 462732, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-10,"{'loaded_rows': 75111, 'dataset_name': 'directory-state-10', 'rejected_rows': 0, 'published_rows': 75111, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-11,"{'loaded_rows': 296441, 'dataset_name': 'directory-state-11', 'rejected_rows': 0, 'published_rows': 296441, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-12,"{'loaded_rows': 185797, 'dataset_name': 'directory-state-12', 'rejected_rows': 0, 'published_rows': 185797, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-13,"{'loaded_rows': 160666, 'dataset_name': 'directory-state-13', 'rejected_rows': 0, 'published_rows': 160666, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-14,"{'loaded_rows': 401813, 'dataset_name': 'directory-state-14', 'rejected_rows': 0, 'published_rows': 401813, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-15-part-1,"{'loaded_rows': 520000, 'dataset_name': 'directory-state-15-part-1', 'rejected_rows': 0, 'published_rows': 520000, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-15-part-2,"{'loaded_rows': 300853, 'dataset_name': 'directory-state-15-part-2', 'rejected_rows': 0, 'published_rows': 300853, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-16,"{'loaded_rows': 287049, 'dataset_name': 'directory-state-16', 'rejected_rows': 0, 'published_rows': 287049, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
directory-state-17,"{'loaded_rows': 113066, 'dataset_name': 'directory-state-17', 'rejected_rows': 0, 'published_rows': 113066, 'merged_duplicate_rows': None, 'published_finished_at': '2026-08-10T05:04:34.411+00:00'}","['dataset_name', 'loaded_rows', 'merged_duplicate_rows', 'published_finished_at', 'published_rows', 'rejected_rows']"
