measured_at,relation,source_slug,dataset_name,loaded_rows,published_rows,rejected_rows,merged_duplicate_rows,published_finished_at
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-01,71871,71871,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-02,139208,139208,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-03,42577,42577,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-04,47821,47821,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-05,126952,126952,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-06,42073,42073,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-07,250960,250960,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-08,142295,142295,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-09,462732,462732,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-10,75111,75111,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-11,296441,296441,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-12,185797,185797,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-13,160666,160666,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-14,401813,401813,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-15-part-1,520000,520000,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-15-part-2,300853,300853,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-16,287049,287049,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-17,113066,113066,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-18,73357,73357,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-19,211349,211349,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-20,280588,280588,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-21,410693,410693,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-22,108868,108868,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-23,69260,69260,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-24,127613,127613,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-25,138882,138882,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-26,128315,128315,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-27,95379,95379,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-28,148882,148882,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-29,99366,99366,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-30,356724,356724,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-31,146384,146384,0,,2026-08-10 05:04:34.411000+00:00
2026-08-13 00:23:22.050461+00:00,directory,denue,directory-state-32,75130,75130,0,,2026-08-10 05:04:34.411000+00:00
