measured_at,domain,source_scope,sample_method,field_name,field_value,frequency,sample_rows_examined,frequency_pct
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Alquiler sin intermediación de salones para fiestas y convenciones,561,5000,11.22
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,"Alquiler de mesas, sillas, vajillas y similares",313,5000,6.26
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Banca múltiple,312,5000,6.24
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Casas de empeño,307,5000,6.14
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Inmobiliarias y corredores de bienes raíces,272,5000,5.44
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,"Agentes, ajustadores y gestores de seguros y fianzas",247,5000,4.94
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Operadores de servicios de telecomunicaciones alámbricas,199,5000,3.98
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Alquiler de prendas de vestir,197,5000,3.94
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Centros cambiarios,173,5000,3.46
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,"Alquiler de maquinaria y equipo para construcción, minería y actividades forestales",162,5000,3.24
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Servicios de mensajería y paquetería foránea,145,5000,2.9
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Sociedades financieras de objeto múltiple,122,5000,2.44
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Otras instituciones de intermediación crediticia y financiera no bursátil,119,5000,2.38
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Alquiler sin intermediación de oficinas y locales comerciales,112,5000,2.24
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Servicios de administración de bienes raíces,79,5000,1.58
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",74,5000,1.48
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Otros servicios relacionados con los servicios inmobiliarios,71,5000,1.42
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Bibliotecas y archivos del sector público,70,5000,1.4
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Centros generales de alquiler,57,5000,1.14
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Banca de desarrollo,51,5000,1.02
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Compañías de seguros,51,5000,1.02
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Operadores de servicios de telecomunicaciones inalámbricas,51,5000,1.02
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Alquiler de automóviles sin chofer,50,5000,1.0
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Cajas de ahorro popular,38,5000,0.76
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,activity_text,Fondos de aseguramiento campesino,38,5000,0.76
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,country_code,MX,5000,5000,100.0
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-25,4287,5000,85.74
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-21,63,5000,1.26
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-14,59,5000,1.18
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-15-part-1,59,5000,1.18
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-09,52,5000,1.04
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-30,43,5000,0.86
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-11,35,5000,0.7
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-16,34,5000,0.68
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-07,30,5000,0.6
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-20,30,5000,0.6
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-15-part-2,29,5000,0.58
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-19,29,5000,0.58
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-08,22,5000,0.44
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-12,21,5000,0.42
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-13,21,5000,0.42
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-02,19,5000,0.38
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-24,17,5000,0.34
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-26,15,5000,0.3
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-05,14,5000,0.28
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-10,14,5000,0.28
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-22,14,5000,0.28
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-01,13,5000,0.26
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-28,13,5000,0.26
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-31,13,5000,0.26
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,dataset_name,directory-state-18,9,5000,0.18
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,municipality,Culiacán,1504,5000,30.08
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,municipality,Mazatlán,893,5000,17.86
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,municipality,Ahome,751,5000,15.02
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,municipality,Guasave,353,5000,7.06
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,municipality,Salvador Alvarado,171,5000,3.42
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,municipality,Navolato,109,5000,2.18
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,municipality,Escuinapa,70,5000,1.4
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,municipality,El Fuerte,69,5000,1.38
2026-08-13 00:41:48.876454+00:00,directory,denue,view_limit_5000_no_order_scalar_top_values,municipality,Eldorado,58,5000,1.16
